Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
2.083115542,-3.143707275,-16.70302773,-41.93040466,45.24414731
2.093061542,-3.382324219,-16.62682915,-41.83027649,45.14048732
2.103007542,-3.30670166,-16.8624115,-41.57606506,44.98715799
2.112953542,-3.362533569,-16.8881321,-41.62174988,45.04315376
2.122899542,-3.579711914,-16.82026291,-41.48426819,44.90746139
2.132844542,-3.501205444,-17.02098083,-41.43669128,44.93296799
2.142790542,-3.874298096,-17.04986763,-42.14775085,45.63048404
2.152736542,-3.629867554,-16.57245827,-42.10227966,45.39189646
2.162682542,-3.851364136,-16.63327789,-41.91477966,45.25867534
2.172628542,-3.889343262,-16.4340477,-41.69276428,44.98323586
2.182573542,-3.987991333,-16.33743477,-41.72273254,44.98446688
2.192519542,-3.809814453,-15.76358223,-41.88786316,44.9176835
2.202465542,-3.94178772,-15.58225822,-42.11265564,45.0757166
2.212411542,-4.071670532,-15.41463661,-42.15879822,45.07276106
2.222357542,-4.255233765,-15.22722626,-42.16465759,45.03147548
2.232303542,-4.494216919,-15.05955315,-42.38679504,45.20650972
2.24224475,-4.741989136,-14.91492081,-42.45249939,45.24550837
2.25219075,-4.74710083,-14.75309181,-42.23603821,44.98968335
2.26213675,-4.74710083,-14.75309181,-42.23603821,44.98968335
2.27208275,-4.932128906,-14.70259094,-42.66825867,45.39903494
2.28202875,-5.33782959,-14.7935791,-42.88731384,45.68001856
2.29197375,-5.688980103,-14.64306068,-42.52497864,45.33384529
2.30191975,-5.660003662,-15.03633881,-42.50544739,45.44051258
2.31186575,-5.535827637,-15.29319954,-42.83357239,45.81748862
2.32181175,-5.488601685,-15.1381073,-42.65406799,45.59228616
2.33175775,-5.564712524,-15.34521866,-42.71714783,45.72960179
2.34170375,-5.510894775,-15.23245621,-42.49571228,45.47838218
2.35164875,-5.507369995,-15.39972115,-42.1749115,45.2350052
2.36159475,-5.612258911,-15.41752625,-42.35316467,45.42012906
2.37154075,-5.684890747,-15.48758698,-42.39781189,45.49459074
2.38148675,-5.337265015,-15.72651291,-42.50538635,45.6346083
2.39143275,-5.388076782,-15.83669281,-42.40193176,45.58240919
2.40137775,-5.371566772,-15.94865608,-42.35890198,45.57949031
2.41132375,-5.599639893,-16.56239891,-41.90757751,45.40830406
2.42126975,-5.541473389,-16.68992996,-42.02183533,45.55322528
2.43121575,-5.344650269,-17.03837967,-41.579422,45.25174032
2.44116175,-5.426055908,-16.81280136,-41.60429382,45.19988536
2.45110675,-5.365356445,-16.6260891,-41.57795715,45.09922848
2.46105275,-5.522293091,-16.82055664,-41.83479309,45.4266085
2.47099875,-5.292510986,-17.10541153,-41.78642273,45.46109216
2.48094475,-5.291824341,-17.2536068,-41.91133118,45.63167796
2.49089075,-5.309143066,-16.949049,-41.93717957,45.54321346
2.50083675,-5.292373657,-17.17762375,-41.90031433,45.59294153
2.51078175,-5.301940918,-17.25649643,-41.70613098,45.44555653
2.52072775,-5.834823608,-17.19488144,-41.58589172,45.37725757
2.53067375,-5.888580322,-17.36431313,-41.74989319,45.59877553
2.54061975,-6.514862061,-17.20528412,-41.83491516,45.70148089
2.55056575,-6.839736938,-17.28072166,-41.692276,45.64702861
2.56051075,-7.101516724,-17.53183174,-41.40202332,45.51839407
2.57045675,-7.140151978,-17.80474472,-41.40174866,45.62998462
2.58040275,-7.491378784,-17.71345901,-41.39021301,45.64030148
2.59034875,-7.276275635,-18.09680748,-41.00318909,45.40594833
2.60029475,-7.275894165,-18.34983826,-40.85594177,45.37469755
2.61024075,-7.222320557,-18.38084221,-41.13502502,45.63011679
2.62018575,-7.027526855,-18.34401512,-41.13066101,45.58092035
2.63013175,-6.782623291,-18.56687546,-40.98817444,45.50564016
2.64007775,-6.694122314,-18.50238991,-40.92002869,45.40482853
2.65002375,-6.49029541,-18.48462486,-41.20143127,45.62195995
2.65996975,-6.618652344,-18.26331329,-41.12413025,45.48130671
2.66991475,-6.762832642,-18.17868996,-41.16722107,45.50759019
2.67986075,-7.153610229,-17.87576675,-41.44792175,45.701722
2.68980675,-7.535919189,-17.77783966,-41.28657532,45.5787556
2.69975275,-8.014022827,-17.38722992,-41.21159363,45.4415644
2.70969875,-8.380828857,-17.00093269,-41.06019592,45.22399467
2.71964475,-8.619552612,-16.67901039,-41.12406921,45.20702538
2.72958975,-8.943527222,-16.63917351,-41.50401306,45.60078809
2.73953575,-9.257553101,-16.49478149,-41.19261169,45.32782108
2.74948175,-9.390182495,-16.54042435,-41.05088806,45.24308318
2.75942775,-9.091003418,-16.52465057,-41.34111023,45.44004638
2.76937375,-9.107498169,-16.59158516,-41.36317444,45.48779419
2.77931875,-9.075653076,-16.6081028,-41.23658752,45.37237825
2.78926475,-8.808853149,-16.71015167,-41.25880432,45.37746133
2.79921075,-8.548339844,-16.93773651,-41.72557068,45.83649507
2.80915675,-8.562149048,-17.00972557,-41.84104919,45.97080115
2.81910275,-8.364761353,-16.81525612,-41.83451843,45.85683159
2.82904775,-7.98815918,-17.03557968,-41.94508362,45.97185772
2.83899375,-7.941253662,-16.99505424,-41.78846741,45.8058008
2.84893975,-7.763839722,-16.84944916,-41.61460876,45.562669
2.85888575,-7.493301392,-16.90262985,-41.67280579,45.59025339
2.86883175,-7.348205566,-17.04278564,-41.335495,45.31087964
2.87877775,-6.9793396,-17.12140465,-41.7900238,45.69748098
2.88872275,-6.952011108,-17.14513397,-41.49488831,45.43249754
2.89866875,-6.711090088,-17.33401108,-41.48762512,45.46129902
2.90861475,-6.464187622,-17.60136032,-41.46955872,45.51173373
2.91856075,-6.508682251,-17.33236313,-41.11882019,45.09469071
2.92850675,-6.459014893,-17.61888123,-41.33677673,45.39683865
2.93845175,-6.57963562,-17.59101486,-41.48417664,45.53759238
2.94839775,-6.386917114,-17.75781631,-41.457901,45.55096383
2.95834375,-6.378799438,-17.70104218,-41.22358704,45.31445801
2.96828975,-6.399963379,-17.67199135,-41.38771057,45.45548807
2.97823575,-5.905853271,-17.8932209,-41.29692078,45.39253378
2.98818175,-5.771011353,-18.04276085,-41.36100769,45.49262301
2.99812675,-5.739532471,-17.67435646,-41.39033508,45.3705295
3.00807275,-5.743209839,-17.86993408,-41.48124695,45.53035089
3.01801875,-5.663284302,-17.80660248,-41.58833313,45.593172
3.02796475,-5.683883667,-17.76597023,-41.60487366,45.59497498
3.03791075,-5.839477539,-17.93711853,-41.44920349,45.5398308
3.04785575,-5.95451355,-17.70517731,-41.39323425,45.41287678
3.05780175,-5.699966431,-17.71417999,-41.04399109,45.06540796
3.06774775,-6.074829102,-17.4965992,-41.34065247,45.29993464
3.07769375,-6.21522522,-17.39749336,-41.36946106,45.3071088
3.08763975,-5.985412598,-17.68575287,-41.01954651,45.06899393
3.09758475,-5.975784302,-17.81728745,-41.10243225,45.19486328
3.10753075,-5.712631226,-17.54466629,-41.00221252,44.96255
3.11747675,-5.593948364,-17.44935799,-40.86274719,44.78321628
3.12742275,-5.575637817,-17.36381149,-41.37043762,45.21175506
3.13736875,-5.909439087,-17.34630775,-41.38996887,45.26527793
3.14731375,-5.460327148,-17.20051003,-41.54362488,45.29398951
3.15725975,-5.769973755,-17.28533363,-41.42027283,45.25167795
3.16720575,-5.751281738,-17.35717773,-41.53514099,45.38189945
3.17715175,-5.732925415,-17.14385986,-41.60386658,45.36143824
3.18709775,-5.44934082,-17.07975388,-41.5778656,45.27838575
3.19704375,-5.492797852,-17.1465435,-41.6158905,45.34376611
3.20698875,-5.707443237,-17.12271881,-41.63511658,45.37890854
3.21693475,-5.883483887,-17.00999832,-41.61201477,45.33778996
3.22688075,-5.785583496,-17.0607357,-41.89225769,45.60156723
3.236826167,-5.841491699,-17.25061798,-41.76908875,45.56713312
3.246772167,-5.841491699,-17.25061798,-41.76908875,45.56713312
3.256717167,-5.817810059,-17.24248314,-41.36412048,45.19004981
3.266663167,-5.856521606,-16.90199089,-40.98130798,44.71514
3.276609167,-5.745315552,-17.07489395,-40.94221497,44.73058932
3.286555167,-5.682998657,-17.09086418,-41.00068665,44.78225561
3.296501167,-5.848236084,-17.19560814,-40.84733582,44.70341875
3.306447167,-5.826507568,-16.938797,-41.04551697,44.78398706
3.316392167,-5.645721436,-17.1483326,-41.24101257,45.01955797
3.326338167,-5.906890869,-17.21886253,-41.17164612,45.01649732
3.336284167,-5.700759888,-17.26952171,-41.25428772,45.08493428
3.346230167,-5.595077515,-17.19585991,-41.34660339,45.12808552
3.356176167,-5.471405029,-16.66354561,-41.41539001,44.97604424
3.366121167,-5.387313843,-16.73786354,-41.64289856,45.20298914
3.376067167,-5.606185913,-16.54118538,-41.71632385,45.22490254
3.386013167,-5.627716064,-16.83767509,-41.47972107,45.11923925
3.395959167,-5.87210083,-16.85156441,-41.48118591,45.15689954
3.405905167,-5.830383301,-17.01296997,-41.3646698,45.10510419
3.415850167,-5.885986328,-16.97045517,-41.56843567,45.28328641
3.425796167,-5.95300293,-16.89705086,-41.25410461,44.97610164
3.435742167,-6.060455322,-16.94599915,-41.04856873,44.82054217
3.445688167,-6.019515991,-16.83196259,-41.04270935,44.76665643
3.455634167,-6.146835327,-16.84989548,-41.21199036,44.94586423
3.465580167,-5.704772949,-16.96276093,-41.14054871,44.86451204
3.475525167,-5.744842529,-16.80620193,-40.92948914,44.61697794
3.485471167,-5.927383423,-16.81915855,-41.26872253,44.95692859
3.495417167,-5.786026001,-16.90116882,-40.75465393,44.49797098
3.505363167,-5.757278442,-16.7872963,-41.36155701,45.00819892
3.515309167,-5.617950439,-16.85214806,-41.10209656,44.77654076
3.525254167,-5.719970703,-16.8789463,-41.06190491,44.76267338
3.535200167,-5.803817749,-17.07652092,-40.79188538,44.6012307
3.545146167,-5.931716919,-16.92660522,-40.86726379,44.62990567
3.555092167,-6.037353516,-17.042099,-40.86991882,44.69041329
3.565038167,-5.800430298,-17.04761505,-40.59040833,44.40548861
3.574983167,-5.735488892,-16.98814201,-40.95655823,44.70942254
3.584929167,-5.916442871,-17.11060143,-41.33839417,45.1291459
3.594875167,-6.030014038,-17.20444489,-41.06715393,44.93178302
3.604821167,-5.796539307,-17.22869682,-41.30747986,45.13020889
3.614767167,-5.862289429,-17.22294807,-41.26118469,45.09414308
3.624713167,-5.936416626,-17.45899773,-41.29057312,45.22133426
3.634658167,-5.94694519,-17.37396622,-41.4563446,45.34147513
3.644604167,-6.091400146,-17.37822342,-41.33958435,45.25559677
3.654550167,-6.003738403,-17.38842964,-41.22666931,45.14466328
3.664496167,-6.107131958,-17.58857536,-41.59861755,45.57521285
3.674442167,-6.297988892,-17.36598015,-41.28868103,45.23269959
3.684387167,-6.246231079,-17.50367928,-41.36747742,45.35043968
3.694333167,-6.244903564,-17.46159935,-41.69621277,45.63420243
3.704279167,-6.147201538,-17.34458923,-41.63801575,45.52304052
3.714225167,-6.498046875,-17.53199768,-41.09492493,45.14851504
3.724171167,-6.418258667,-17.58699608,-40.81971741,44.90819307
3.734116167,-6.277938843,-17.72877121,-40.85771179,44.9786
3.744062167,-6.220275879,-17.79655457,-41.57841492,45.65275209
3.754008167,-6.220489502,-17.81141472,-41.46839905,45.55841419
3.763954167,-6.103439331,-17.5436058,-41.45457458,45.42589383
3.773900167,-6.09866333,-17.63061142,-41.46766663,45.47086462
3.783846167,-6.04460144,-17.65793991,-41.50901794,45.51196128
3.793791167,-6.171127319,-17.75385284,-41.59544373,45.64496732
3.803737167,-5.800689697,-17.62804413,-41.14189148,45.13370332
3.813683167,-6.074386597,-17.55182648,-41.25706482,45.24500174
3.823629167,-5.801757813,-17.49769211,-41.44129944,45.3564871
3.833575167,-5.651809692,-17.34666443,-41.68357849,45.50132345
3.843520167,-5.47984314,-17.2359581,-41.4683075,45.24077209
3.853466167,-5.727813721,-17.34064865,-41.11103821,44.98470194
3.863412167,-5.64692688,-17.05632591,-41.34303284,45.0782919
3.873358167,-5.503814697,-17.12380791,-41.26701355,45.01647677
3.883304167,-5.642745972,-16.99097443,-41.38539124,45.09195496
3.893249167,-5.722732544,-16.90730095,-41.57582092,45.2455012
3.903195167,-5.851104736,-16.91444397,-41.48103333,45.1775383
3.913141167,-5.743911743,-16.83775139,-41.22053528,44.895823
3.923087167,-5.798416138,-17.1486969,-41.32472229,45.1157634
3.933033167,-5.626037598,-17.12662697,-41.25663757,45.02314732
3.942979167,-5.870056152,-17.19838524,-41.49702454,45.30171144
3.952924167,-5.754058838,-17.14669609,-41.53404236,45.30115953
3.962870167,-5.844100952,-17.18482971,-41.46412659,45.26307194
3.972816167,-5.820648193,-17.26408195,-41.66734314,45.47632302
3.982762167,-5.572845459,-17.02110672,-41.61872864,45.30886507
3.992708167,-5.605865479,-16.83215141,-41.63545227,45.25768371
4.002653167,-5.475311279,-17.0697422,-41.10368347,44.84270205
4.012599167,-5.455307007,-17.24682808,-41.37666321,45.15796399
4.022545167,-5.692123413,-17.18549156,-41.41255188,45.19669061
4.032491167,-5.746856689,-17.20679855,-41.48265076,45.27593833
4.042437167,-5.710464478,-17.13060951,-41.87675476,45.60405438
4.052382167,-5.69720459,-16.9242382,-41.66584778,45.33134512
4.062328167,-5.473419189,-16.97337532,-41.46528625,45.1378306
4.072274167,-5.490615845,-17.00171471,-41.40492249,45.09515241
4.082220167,-5.667022705,-16.9740963,-41.43013,45.12971043
4.092166167,-5.790283203,-16.98710632,-41.60084534,45.30694752
4.102112167,-5.835769653,-17.10064697,-41.56636047,45.32384204
4.112057167,-5.936340332,-17.08010674,-41.61808777,45.37659542
4.122003167,-5.958053589,-17.19941139,-41.42643738,45.24895434
4.131949167,-6.018753052,-17.0305481,-41.36869812,45.14016106
4.141895167,-5.989715576,-16.96172523,-41.06910706,44.8357934
4.151841167,-6.261230469,-17.02433586,-41.66810608,45.44515467
4.161786167,-6.174331665,-17.17271042,-41.54893494,45.37993333
4.171732167,-6.316177368,-16.90445518,-41.45585632,45.21330252
4.181678167,-6.167404175,-17.00673676,-41.87330627,45.61403016
4.191624167,-6.125213623,-16.72143364,-41.79881287,45.43418693
4.201570167,-6.204818726,-17.09197044,-41.48988342,45.29951054
4.211515167,-6.43347168,-16.78542709,-41.56428528,45.28498572
4.221461167,-6.43347168,-16.78542709,-41.56428528,45.28498572
4.231407167,-6.403686523,-16.53985596,-41.38551331,45.02593417
4.2413535,-6.227310181,-16.4153614,-41.53767395,45.09569646
4.2512995,-6.264373779,-16.44920158,-41.47816467,45.05837055
4.2612445,-6.405731201,-16.71766281,-41.60722351,45.29541578
4.2711905,-6.643371582,-16.59150124,-41.80357361,45.46373352
4.2811365,-6.258575439,-16.62439728,-41.73164368,45.35493838
4.2910825,-6.400390625,-16.64660835,-41.88206482,45.52122498
4.3010285,-6.553329468,-16.54866028,-41.67735291,45.31893676
4.3109745,-6.670150757,-16.55273438,-41.58607483,45.25356943
4.3209195,-6.486801147,-16.3893795,-41.59236145,45.17316549
4.3308655,-6.430297852,-16.40276146,-41.59614563,45.17342853
4.3408115,-6.531143188,-16.65877342,-41.60871887,45.29300221
4.3507575,-6.467498779,-16.71439934,-41.59416199,45.29099245
4.3607035,-6.292236328,-16.84420586,-41.56416321,45.2868543
4.3706485,-6.608322144,-16.81522751,-41.33525085,45.11124872
4.3805945,-6.681045532,-16.65142822,-41.01368713,44.76638207
4.3905405,-6.966995239,-16.57896042,-41.27061462,45.01849156
4.4004865,-6.707168579,-16.66212463,-41.13734436,44.8875663
4.4104325,-6.742858887,-16.70159912,-41.32435608,45.07895257
4.4203775,-6.538192749,-16.52046204,-41.29924011,44.9588797
4.4303235,-6.475357056,-16.46191216,-41.41740417,45.03694227
